state,total_locations,breakfast_count,breakfast_percentage
co,55,55,100.0
me,2,2,100.0
wy,1,1,100.0
wa,20,20,100.0
mt,3,3,100.0
wi,19,18,94.736842105263
ca,176,166,94.318181818181
ar,36,33,91.666666666666
or,10,9,90.0
al,92,82,89.130434782608
ma,18,16,88.888888888888
md,88,78,88.636363636363
mn,26,23,88.461538461538
nv,17,15,88.235294117647
tx,473,416,87.949260042283
ga,264,232,87.878787878787
va,139,122,87.769784172661
nc,190,166,87.368421052631
tn,102,89,87.254901960784
ny,46,40,86.95652173913
ks,23,20,86.95652173913
nm,15,13,86.666666666666
il,64,55,85.9375
la,56,48,85.714285714285
ms,42,36,85.714285714285
sc,103,88,85.436893203883
mi,27,23,85.185185185185
ct,13,11,84.615384615384
fl,244,205,84.016393442622
ne,11,9,81.818181818181
az,49,40,81.632653061224
ia,15,12,80.0
de,15,12,80.0
ut,33,26,78.787878787878
ky,48,37,77.083333333333
nj,62,47,75.806451612903
mo,44,33,75.0
oh,80,60,75.0
nd,4,3,75.0
pa,102,74,72.549019607843
ok,51,36,70.588235294117
wv,23,16,69.565217391304
dc,13,9,69.230769230769
in,57,38,66.666666666666
nh,3,2,66.666666666666
id,10,6,60.0
ri,2,1,50.0
sd,4,1,25.0
